subject,view,n,n_correct,accuracy
BiomedCLIP,Frontal,140000,91841,0.656007
CheXagent-2-3B,Frontal,140000,96825,0.691607
CheXagent-8B,Frontal,131600,85167,0.647166
GPT-5.4,Frontal,306152,239012,0.780697
GPT-5.4,Lateral,43736,33884,0.774739
InternVL3-8B,Frontal,51800,29969,0.578552
LLaVA-1.5-7B,Frontal,112000,64418,0.575161
LLaVA-Med-7B,Frontal,140000,78666,0.561900
MedGemma-4B,Frontal,29400,18189,0.618673
Phi-3.5-Vision,Frontal,139986,75048,0.536111
Qwen2.5-VL-3B,Frontal,139888,89819,0.642078
Qwen2.5-VL-7B,Frontal,140000,94900,0.677857
gpt-4o,Frontal,20818,16073,0.772072
gpt-4o,Lateral,364,284,0.780220
