subject,ap_pa,n,n_correct,accuracy
BiomedCLIP,AP,103936,65235,0.627646
BiomedCLIP,PA,36064,26606,0.737744
CheXagent-2-3B,AP,103936,69725,0.670846
CheXagent-2-3B,PA,36064,27100,0.751442
CheXagent-8B,AP,103936,64162,0.617322
CheXagent-8B,PA,36064,26582,0.737079
GPT-5.4,AP,226996,175756,0.774269
GPT-5.4,PA,79156,63256,0.799131
GPT-5.4,unknown,43736,33884,0.774739
InternVL3-8B,AP,103936,59169,0.569283
InternVL3-8B,PA,36064,21552,0.597604
LLaVA-1.5-7B,AP,103936,55159,0.530702
LLaVA-1.5-7B,PA,36064,25870,0.717336
LLaVA-Med-7B,AP,103936,55455,0.533549
LLaVA-Med-7B,PA,36064,23211,0.643606
Llama-3.2-Vision-11B,AP,83006,44872,0.540587
Llama-3.2-Vision-11B,PA,28196,20467,0.725883
Llama-3.2-Vision-11B,unknown,28798,20205,0.701611
MedGemma-4B,AP,98014,58441,0.596252
MedGemma-4B,PA,33586,22236,0.662062
Phi-3.5-Vision,AP,103922,49989,0.481024
Phi-3.5-Vision,PA,36064,25059,0.694848
Pixtral-12B,AP,83006,52258,0.629569
Pixtral-12B,PA,28196,20462,0.725706
Pixtral-12B,unknown,28798,20149,0.699667
Qwen2.5-VL-32B,AP,59738,32687,0.547173
Qwen2.5-VL-32B,PA,20062,11263,0.561410
Qwen2.5-VL-3B,AP,103894,63507,0.611267
Qwen2.5-VL-3B,PA,35994,26312,0.731011
Qwen2.5-VL-3B,unknown,28798,20564,0.714077
Qwen2.5-VL-7B,AP,103936,70021,0.673693
Qwen2.5-VL-7B,PA,36064,24879,0.689857
Qwen2.5-VL-7B,unknown,28798,19433,0.674804
gpt-4o,AP,16772,12965,0.773015
gpt-4o,PA,4046,3108,0.768166
gpt-4o,unknown,364,284,0.780220
